section,quantity,value,se,published,published_se,outcome,k,m,need,holds
diagnostic,sigma_hat_Ze,1.0380250814518903,,,,lfaminc,,,,
diagnostic,tau,0.016174235565110422,,,,lfaminc,,,,
diagnostic,all_same_sign,True,,,,lfaminc,,,,
diagnostic,n_blocks_pos,24,,,,lfaminc,,,,
confidence_set,MoM-AR (feasible),"[-1.1038, 1.1935]",,,,lfaminc,,,,
test,MoM-AR (feasible) @ no effect,False,,,,lfaminc,,,,
test,MoM-AR (feasible) @ OLS,False,,,,lfaminc,,,,
confidence_set,SN-AR,"[-0.3623, 0.2625]",,,,lfaminc,,,,
test,SN-AR @ no effect,False,,,,lfaminc,,,,
test,SN-AR @ OLS,False,,,,lfaminc,,,,
confidence_set,AR (standard),"[-0.1609, 0.1094]",,,,lfaminc,,,,
test,AR (standard) @ no effect,False,,,,lfaminc,,,,
test,AR (standard) @ OLS,True,,,,lfaminc,,,,
strength,mu_ZX_hat,0.014884276003521107,,,,,,,,
strength,sigma2_ZX_hat,0.05984234261328549,,,,,,,,
strength,Mean IV (eq:iv_strength): n >= 8 sigma2/(delta mu^2),394840,,,,,,,43218.84332301292,True
strength,RoM (eq:rom_strength): m > 4 sigma2/mu^2 (m=13161),13161,,,,,,,1080.4710830753231,True
strength,MoR (eq:mor_strength): m >= 32 sigma2/mu^2 (m=16451),16451,,,,,,,8643.768664602585,True
strength,Single interval (eq:mono_cheby): m >= k sigma2/(delta mu^2) (m=16451),16451,,,,,,,129656.52996903878,False
