seed,beta_mor,beta_rom,beta_catoni,sigma_hat_Ze,all_same_sign,mom_lo,mom_hi,mom_ncomp,mom_unbounded,mom_length,mom_rej0,mom_rejOLS,sn_lo,sn_hi,sn_ncomp,sn_unbounded,sn_length,sn_rej0,sn_rejOLS
0,0.05843705169999522,0.10231649547284986,0.10184993154054166,0.34288594461406907,False,-0.19230688426025963,0.38387781960469997,1,False,0.5761847038649596,False,False,-0.009678382549769885,0.23250410887024356,3,False,0.211828033056321,False,False
1,0.059185483987127835,0.07711497762535288,0.10184803526865545,0.23867841190532538,True,-0.117343817510461,0.31670053784008256,1,False,0.43404435535054353,False,False,0.01568048990337639,0.18885650950515775,1,False,0.17317601960178136,True,False
2,0.09995223039727053,0.10826751233922842,0.10184811600604628,0.3236220145133824,True,-0.13383103452946393,0.3805043488075435,1,False,0.5143353833370075,False,False,0.05804456162097371,0.2265231684747332,1,False,0.16847860685375948,True,False
3,0.11561326602724337,0.1229503129782318,0.10185128884683604,0.24329711205299845,False,-0.10413802836227606,0.2640146073815722,1,False,0.36815263574384827,False,False,0.0658433061824951,0.17195492493893855,1,False,0.10611161875644344,True,False
4,0.10029944073143826,0.07365459723344463,0.10184954553968194,0.16166822280314191,True,-0.009965684018201205,0.24345735973239585,1,False,0.25342304375059704,False,False,0.04891951837407167,0.15125775596309993,1,False,0.10233823758902826,True,False
5,0.09520693495704234,0.0883997367834404,0.10184947538744957,0.17665706006186674,False,-0.026345467988443963,0.2467571129339693,1,False,0.27310258092241324,False,False,0.06094242329144113,0.12484024925881004,1,False,0.06389782596736891,True,False
6,0.07896964210284546,0.08723496516595343,0.10184885236038234,0.288314199793212,False,-0.1156345566132234,0.3635034748054229,1,False,0.4791380314186463,False,False,-0.026533460896858485,0.18022659009912745,1,False,0.20676005099598593,False,False
7,0.11702356527633524,0.06534715241097512,0.10184888890694095,0.4512351508975539,False,-0.37915967929597044,0.46518033475700915,1,False,0.8443400140529795,False,False,0.025689143160829736,0.23009533980918662,1,False,0.20440619664835688,True,False
8,0.04511508767873315,0.08266285421137523,0.10184871974702521,0.29203125040661887,False,-0.12471172762520824,0.36317445348058347,1,False,0.48788618110579174,False,False,0.005824099157690877,0.17285322673711728,1,False,0.1670291275794264,True,False
9,0.10673519056595818,0.10093285441784136,0.10185103312407985,0.19937066676891907,False,-0.03954994514097942,0.3079384378218827,1,False,0.3474883829628621,False,False,0.08126490022480423,0.2274635652378806,1,False,0.14619866501307638,True,True
10,0.0877101885575981,0.10710939463664933,0.10184900148243263,0.18443093917257133,True,-0.04264827998416466,0.29480446356857726,1,False,0.3374527435527419,False,False,0.022460980728007316,0.11225265566815379,1,False,0.08979167494014648,True,False
11,0.060489662812766874,0.07089065876232681,0.1018499772821823,0.3177593040478471,True,-0.20778926061763286,0.3834843404799716,1,False,0.5912736010976045,False,False,0.006624158959805051,0.23735722175248097,1,False,0.2307330627926759,True,False
12,0.10848131644682163,0.10481077858844,0.10184985162191419,0.17660197335144412,False,-0.041322576885972816,0.2782875564299818,1,False,0.3196101333159546,False,False,0.04591124880264201,0.17507964888748984,1,False,0.1291684000848478,True,False
13,0.07991221533146367,0.07466048622629864,0.10184825121485483,0.22047150087726225,False,-0.060514603037466586,0.2779759018268168,1,False,0.3384905048642834,False,False,0.0249202143570438,0.20745630658446604,2,False,0.16432360343921382,True,False
14,0.08355722021924682,0.07148170274362478,0.10184960654960613,0.20475961279614113,False,-0.06842545569899991,0.24172460638695756,1,False,0.31015006208595747,False,False,0.05496767356752788,0.1464321318190281,1,False,0.09146445825150021,True,False
15,0.10992306125137491,0.0801537355715662,0.10185109061559186,0.16991344616358658,False,-0.03378760800018797,0.26222336440209876,1,False,0.29601097240228674,False,False,0.045128117982918464,0.16009295335236357,1,False,0.1149648353694451,True,False
16,0.07728106986635938,0.07678128404825733,0.10185041631232644,0.3076093017892637,False,-0.16767760979610627,0.4099754075824643,1,False,0.5776530173785706,False,False,-0.016335523214200155,0.32731343057812334,3,False,0.322816645393071,True,False
17,0.08574633792052243,0.06273644736493929,0.10184779340993634,0.24930557049421875,False,-0.12162655564524331,0.34520045307112407,1,False,0.4668270087163674,False,False,0.04886894004776581,0.16223955731074435,1,False,0.11337061726297853,True,False
18,0.09421704828420316,0.11228074999520955,0.10184911514773576,0.19886828652286914,False,-0.07249641141963203,0.27336229618601676,1,False,0.3458587076056488,False,False,-0.004064316846654022,0.19841521456038608,3,False,0.1511253535934546,True,False
19,0.0693432120703811,0.1340506870542564,0.10184914876048844,0.32204354974892613,False,-0.15359292136767697,0.37810625239633916,1,False,0.5316991737640161,False,False,0.036490811273164045,0.26559634034181767,1,False,0.2291055290686536,True,False
20,0.11603031855609876,0.10619271612753822,0.10184977371514396,0.3200878153772557,False,-0.14293989587137249,0.32236084879951954,1,False,0.465300744670892,False,False,0.018844419145495218,0.1727678820596927,1,False,0.15392346291419748,True,False
21,0.0647041248554345,0.0828047638502184,0.10184918223494145,0.4044249655554245,False,-0.18786581265154,0.3991783604157444,1,False,0.5870441730672844,False,False,-0.01574488072524527,0.264883678518378,1,False,0.2806285592436233,False,False
22,0.09377291565245377,0.08946293252672015,0.10184839293130471,0.19723129343149953,True,-0.06486829041611844,0.31357354575512686,1,False,0.37844183617124527,False,False,0.04152314581688498,0.15143945697602998,1,False,0.10991631115914499,True,False
23,0.09252782563908549,0.10786280611263824,0.10184842697725753,0.2662958860434237,False,-0.10031356536198135,0.29376784371774156,1,False,0.3940814090797229,False,False,0.047252212464216875,0.17548040365318596,1,False,0.12822819118896908,True,False
24,0.12265208744912257,0.11487878952010251,0.10185121001047799,0.2640989724219972,False,-0.09885761733201824,0.3516684454893457,1,False,0.450526062821364,False,False,0.01640694726068201,0.30028267528318564,2,False,0.2766294080956695,True,False
25,0.09001403645823705,0.09531768741017646,0.10185087070769162,0.3590593358427818,False,-0.17878595168652361,0.396454158396065,1,False,0.5752401100825886,False,False,0.005122105488199697,0.22280266431763263,1,False,0.21768055882943294,True,False
26,0.08657224831053872,0.10794409724534286,0.10184880653457987,0.27501077472329727,False,-0.1466069683949579,0.3521879069697766,1,False,0.4987948753647345,False,False,0.051388814947617815,0.18863100829628932,1,False,0.1372421933486715,True,False
27,0.13329719596274114,0.12894654441930584,0.10185011085750945,0.3543159780161143,True,-0.16776759184472997,0.38347010811861526,1,False,0.5512376999633453,False,False,0.05021628043859107,0.20246586565742958,1,False,0.15224958521883852,True,False
28,0.08163084704407886,0.07684182234260496,0.10184960821806643,0.3281402368093583,True,-0.20884130925781036,0.3767197488897222,1,False,0.5855610581475326,False,False,-0.007285035194898705,0.13065823997755638,1,False,0.13794327517245508,False,False
29,0.1170415730228436,0.10332354345494651,0.10184861783956399,0.22139954214152746,True,-0.05678032677624231,0.2885373956442789,1,False,0.34531772242052117,False,False,0.042274006524278665,0.17980201163789278,1,False,0.13752800511361413,True,False
30,0.08074483434231855,0.09297128371698793,0.10184956992785807,0.3482219381092675,True,-0.18184835744841568,0.38257039266916903,1,False,0.5644187501175847,False,False,-0.014621016875552569,0.17059892319338726,2,False,0.18384997125474636,False,False
31,0.11740333493385968,0.11828115194613155,0.10184850600117765,0.25541404638216925,True,-0.13719607033491799,0.30443104751782374,1,False,0.4416271178527417,False,False,0.025307573426574907,0.1575671069120047,1,False,0.1322595334854298,True,False
32,0.10680291385326751,0.1002755573271745,0.10185015575528585,0.19811363883262323,False,-0.09898519158935726,0.27472094031456296,1,False,0.3737061319039202,False,False,0.07855617415558405,0.19780205259275374,1,False,0.11924587843716969,True,True
33,0.10222892420866098,0.11405192034560692,0.10185014141500201,0.29508044841300496,False,-0.1180692704703467,0.44001238924422825,1,False,0.5580816597145749,False,False,0.04921740297471558,0.23206491796486242,1,False,0.18284751499014684,True,False
34,0.08852431950304177,0.09986623153433882,0.10184773427937191,0.20890204791519287,True,-0.07183608819943987,0.2579079343730103,1,False,0.32974402257245017,False,False,0.02535351759859001,0.13675498167609845,1,False,0.11140146407750845,True,False
35,0.10980391521096369,0.08080622739906514,0.1018504841690997,0.23933674155099283,True,-0.08232984654953056,0.34413446120876295,1,False,0.4264643077582935,False,False,0.06408158609260997,0.19167532818719163,1,False,0.12759374209458166,True,False
36,0.09280566643942487,0.12065875020522696,0.10184890814069845,0.2891442784210321,True,-0.11220186016897062,0.3331455229503552,1,False,0.4453473831193258,False,False,0.05455763056587084,0.17991397025720585,1,False,0.125356339691335,True,False
37,0.056419494110401744,0.04086896485388561,0.10184637649335249,0.26247299179743255,False,-0.11455286555211266,0.3278820486630164,1,False,0.44243491421512904,False,False,0.02223380470521439,0.1697763922616522,1,False,0.14754258755643782,True,False
38,0.12351848783493558,0.0836488049208717,0.10184832918350702,0.2522129412406071,True,-0.07290885504847525,0.3411861869672008,1,False,0.41409504201567604,False,False,0.049199208227509,0.19713721951458738,1,False,0.14793801128707837,True,False
39,0.11608237467342664,0.10584459250680438,0.10185118384670996,0.2748974604813192,False,-0.13731708704070278,0.35505615997936324,1,False,0.492373247020066,False,False,0.0568626965250031,0.25180153870309385,1,False,0.19493884217809077,True,False
40,0.09668499972952807,0.08985831767333613,0.10185039031680955,0.306201054181722,False,-0.18908389783361906,0.36999431558632545,1,False,0.5590782134199446,False,False,0.011146411340332351,0.20261559810074492,2,False,0.18435927061698135,True,False
41,0.11815493205456093,0.09518701203992525,0.10185084129141513,0.15750900669266568,True,-0.019089969285969583,0.26304005231914146,1,False,0.282130021605111,False,False,0.08719563123194159,0.17375751199538908,1,False,0.0865618807634475,True,True
42,0.06682686939199299,0.047035546472300516,0.10185003342450655,0.29134242385516357,False,-0.17978307375069896,0.3642368539023829,1,False,0.5440199276530819,False,False,0.008940196119189722,0.16004710845875064,1,False,0.15110691233956092,True,False
43,0.12227351860022942,0.11821648470044849,0.10185009142281375,0.3054185058761885,False,-0.12649197312377364,0.38221730868663517,1,False,0.5087092818104089,False,False,0.0428517447666046,0.19479711770094735,1,False,0.15194537293434274,True,False
44,0.0984784400025886,0.10688268466296512,0.10185088800444098,0.2766559796840205,True,-0.13216629365737018,0.351909563233851,1,False,0.4840758568912211,False,False,0.02710311123840921,0.21195295528426028,1,False,0.18484984404585106,True,False
45,0.06879415567383926,0.12072838298037776,0.10184723113669672,0.3075504667230408,False,-0.16377768735400428,0.3395846209023661,1,False,0.5033623082563703,False,False,0.0020121722915105635,0.24611025026322592,2,False,0.2107036691069493,True,False
46,0.061355124572285896,0.10074782284996633,0.10185026713961226,0.2042023837348726,False,-0.08801980067553154,0.2304531833316706,1,False,0.31847298400720214,False,False,-0.0037323374862717647,0.11785650817346888,1,False,0.12158884565974064,False,False
47,0.09959363159130274,0.10501522331871802,0.10184905863371914,0.1498106728437615,True,-0.013537245736048571,0.22715945648811944,1,False,0.240696702224168,False,False,0.057113940751622946,0.15170716069712706,1,False,0.09459321994550411,True,False
48,0.08786761184724351,0.09952755356710849,0.10184866647092783,0.1655986282456969,True,-0.010882203232926763,0.21967857444742525,1,False,0.23056077768035202,False,False,0.037689203389801765,0.15253629106691707,1,False,0.11484708767711531,True,False
49,0.11186888521497826,0.10412822849583615,0.10184924653968773,0.21829969866428284,False,-0.06867108896217797,0.2777147556887029,1,False,0.34638584465088085,False,False,0.05549832097939983,0.18744084837918393,1,False,0.1319425273997841,True,False
50,0.09772147772337028,0.06687219698455614,0.10184911695904755,0.3200256239822334,True,-0.15371649764492643,0.3646347101881551,1,False,0.5183512078330815,False,False,0.03489592413877933,0.15195827728148245,1,False,0.11706235314270312,True,False
51,0.08204196338490352,0.08443617635013721,0.10185025436953841,0.21481350691483267,False,-0.06966146648007276,0.3056965985841416,1,False,0.3753580650642144,False,False,0.03981161675938664,0.2169199166006628,1,False,0.17710829984127616,True,False
52,0.0942049791835903,0.10018898117353568,0.10184937489234401,0.2713212225940313,False,-0.08809298370517188,0.31021226564919774,1,False,0.3983052493543696,False,False,0.010488628249955778,0.15170884070125443,2,False,0.1316926078121992,True,False
53,0.09123333335493262,0.11379305438682553,0.10184899224766533,0.2185850171859916,False,-0.05902112641319735,0.27201379604038184,1,False,0.3310349224535792,False,False,0.05805204442808441,0.20194822167050516,1,False,0.14389617724242076,True,False
54,0.11109768654153254,0.12868222416418565,0.10185048965262529,0.09140660089126808,False,0.04634780464700175,0.17700227528205126,1,False,0.1306544706350495,True,False,0.08595256818554443,0.16137481041042984,1,False,0.0754222422248854,True,True
55,0.10364413289406628,0.11598579155816102,0.10184834672466925,0.12149119725284256,False,0.013867472317631078,0.2792849290192562,1,False,0.26541745670162514,True,False,0.07580173071577666,0.23857973412038236,1,False,0.1627780034046057,True,True
56,0.08385863818843242,0.10705013612723559,0.10184720934676782,0.3262975247189063,False,-0.1736145493421635,0.39134557553593846,1,False,0.564960124878102,False,False,0.044300949237958034,0.2500016395608793,2,False,0.15918113322274297,True,False
57,0.10248175261470945,0.11165431796047136,0.10184948995462498,0.2387044367157622,False,-0.05252479029514721,0.30319715894258936,1,False,0.3557219492377366,False,False,0.050508290052050285,0.1766445400533707,1,False,0.12613625000132042,True,False
58,0.10908442240924472,0.10124273036970986,0.10184958463393716,0.2456822511530369,False,-0.07984051733575859,0.3510470708712729,1,False,0.4308875882070315,False,False,0.02732985410198508,0.21770534969971794,2,False,0.17484443725359095,True,False
59,0.11057855246225654,0.10243906944014622,0.10184896907029209,0.20654075715372944,True,-0.06774293370322516,0.28437672207518383,1,False,0.352119655778409,False,False,0.06138950880157762,0.1967689978601076,1,False,0.13537948905852998,True,False
60,0.0877163292415852,0.1341379082161101,0.10185027991886543,0.28615833606526003,True,-0.12010845563248489,0.32777454542477996,1,False,0.44788300105726486,False,False,0.03184287372134682,0.1399137609120207,1,False,0.10807088719067388,True,False
61,0.06741567385460115,0.0987696444206467,0.10184981143248864,0.34253641066854573,True,-0.2238329590361631,0.38912507124088297,1,False,0.6129580302770461,False,False,-0.002351533321073758,0.19913788479013195,1,False,0.20148941811120571,False,False
62,0.07344616766605971,0.08747571280423887,0.10184826429207479,0.39409927820756857,False,-0.2022862018549898,0.46175841185447125,1,False,0.6640446137094611,False,False,0.013471463870278668,0.1889101919603913,1,False,0.17543872809011263,True,False
