dist,beta0_minus_beta,test,rejection_rate
Gaussian,0.5249999999999999,MoM-AR (feasible),1.0
Gaussian,0.5499999999999998,MoM-AR (feasible),1.0
Gaussian,0.5749999999999997,MoM-AR (feasible),1.0
Gaussian,0.6000000000000001,MoM-AR (feasible),1.0
Gaussian,-0.6,SN-AR,1.0
Gaussian,-0.575,SN-AR,1.0
Gaussian,-0.5499999999999999,SN-AR,1.0
Gaussian,-0.525,SN-AR,1.0
Gaussian,-0.5,SN-AR,1.0
Gaussian,-0.475,SN-AR,1.0
Gaussian,-0.44999999999999996,SN-AR,1.0
Gaussian,-0.42500000000000004,SN-AR,1.0
Gaussian,-0.4,SN-AR,1.0
Gaussian,-0.375,SN-AR,1.0
Gaussian,-0.35,SN-AR,1.0
Gaussian,-0.32499999999999996,SN-AR,1.0
Gaussian,-0.30000000000000004,SN-AR,1.0
Gaussian,-0.275,SN-AR,1.0
Gaussian,-0.25,SN-AR,0.9998
Gaussian,-0.2250000000000001,SN-AR,0.9996
Gaussian,-0.19999999999999996,SN-AR,0.9994
Gaussian,-0.17500000000000004,SN-AR,0.9968
Gaussian,-0.15000000000000002,SN-AR,0.983
Gaussian,-0.125,SN-AR,0.933
Gaussian,-0.10000000000000009,SN-AR,0.7978
Gaussian,-0.07500000000000007,SN-AR,0.5466
Gaussian,-0.050000000000000044,SN-AR,0.2732
Gaussian,-0.025000000000000022,SN-AR,0.0892
Gaussian,0.0,SN-AR,0.0562
Gaussian,0.02499999999999991,SN-AR,0.1624
Gaussian,0.04999999999999982,SN-AR,0.4372
Gaussian,0.07499999999999996,SN-AR,0.74
Gaussian,0.10000000000000009,SN-AR,0.93
Gaussian,0.125,SN-AR,0.9904
Gaussian,0.1499999999999999,SN-AR,0.9988
Gaussian,0.17499999999999982,SN-AR,1.0
Gaussian,0.19999999999999996,SN-AR,1.0
Gaussian,0.2250000000000001,SN-AR,1.0
Gaussian,0.25,SN-AR,1.0
Gaussian,0.2749999999999999,SN-AR,1.0
Gaussian,0.2999999999999998,SN-AR,1.0
Gaussian,0.32499999999999996,SN-AR,1.0
Gaussian,0.3500000000000001,SN-AR,1.0
Gaussian,0.375,SN-AR,1.0
Gaussian,0.3999999999999999,SN-AR,1.0
Gaussian,0.4249999999999998,SN-AR,1.0
Gaussian,0.44999999999999973,SN-AR,1.0
Gaussian,0.4750000000000001,SN-AR,1.0
Gaussian,0.5,SN-AR,1.0
Gaussian,0.5249999999999999,SN-AR,1.0
Gaussian,0.5499999999999998,SN-AR,1.0
Gaussian,0.5749999999999997,SN-AR,1.0
Gaussian,0.6000000000000001,SN-AR,1.0
Gaussian,-0.6,AR (standard),1.0
Gaussian,-0.575,AR (standard),1.0
Gaussian,-0.5499999999999999,AR (standard),1.0
Gaussian,-0.525,AR (standard),1.0
Gaussian,-0.5,AR (standard),1.0
Gaussian,-0.475,AR (standard),1.0
Gaussian,-0.44999999999999996,AR (standard),1.0
Gaussian,-0.42500000000000004,AR (standard),1.0
Gaussian,-0.4,AR (standard),1.0
Gaussian,-0.375,AR (standard),1.0
Gaussian,-0.35,AR (standard),1.0
Gaussian,-0.32499999999999996,AR (standard),1.0
Gaussian,-0.30000000000000004,AR (standard),1.0
Gaussian,-0.275,AR (standard),1.0
Gaussian,-0.25,AR (standard),1.0
Gaussian,-0.2250000000000001,AR (standard),1.0
Gaussian,-0.19999999999999996,AR (standard),1.0
Gaussian,-0.17500000000000004,AR (standard),1.0
Gaussian,-0.15000000000000002,AR (standard),1.0
Gaussian,-0.125,AR (standard),1.0
Gaussian,-0.10000000000000009,AR (standard),0.9894
Gaussian,-0.07500000000000007,AR (standard),0.8926
Gaussian,-0.050000000000000044,AR (standard),0.574
Gaussian,-0.025000000000000022,AR (standard),0.1934
Gaussian,0.0,AR (standard),0.0578
Gaussian,0.02499999999999991,AR (standard),0.2152
Gaussian,0.04999999999999982,AR (standard),0.634
Gaussian,0.07499999999999996,AR (standard),0.927
Gaussian,0.10000000000000009,AR (standard),0.9954
Gaussian,0.125,AR (standard),1.0
Gaussian,0.1499999999999999,AR (standard),1.0
Gaussian,0.17499999999999982,AR (standard),1.0
Gaussian,0.19999999999999996,AR (standard),1.0
Gaussian,0.2250000000000001,AR (standard),1.0
Gaussian,0.25,AR (standard),1.0
Gaussian,0.2749999999999999,AR (standard),1.0
Gaussian,0.2999999999999998,AR (standard),1.0
Gaussian,0.32499999999999996,AR (standard),1.0
Gaussian,0.3500000000000001,AR (standard),1.0
Gaussian,0.375,AR (standard),1.0
Gaussian,0.3999999999999999,AR (standard),1.0
Gaussian,0.4249999999999998,AR (standard),1.0
Gaussian,0.44999999999999973,AR (standard),1.0
Gaussian,0.4750000000000001,AR (standard),1.0
Gaussian,0.5,AR (standard),1.0
Gaussian,0.5249999999999999,AR (standard),1.0
Gaussian,0.5499999999999998,AR (standard),1.0
Gaussian,0.5749999999999997,AR (standard),1.0
Gaussian,0.6000000000000001,AR (standard),1.0
t(2.1),-0.6,MoM-AR (oracle),1.0
t(2.1),-0.575,MoM-AR (oracle),1.0
