k,0.900,0.950,0.975,0.990
5,2.7728701382540346,4.236205303740263,6.275283129173536,10.299641488702271
10,1.5688892029319832,2.0845970946435997,2.6719771746673864,3.6141522220477396
15,0.937528499964694,1.1811852508308063,1.4375988935718074,1.798097963077444
19,0.8004471288030605,0.9962589463066069,1.1901972324032655,1.4585602881472033
20,0.8462967002619516,1.0522540552847905,1.25857425360821,1.5400025883391242
24,0.7432650227758043,0.9159144137315353,1.0858300346143037,1.3112279013531036
25,0.672618948187219,0.8278504597378834,0.9795857176013104,1.1770083204992148
30,0.6403076194511723,0.7838261951844374,0.9202726689584773,1.1000598281732046
37,0.5354413746589053,0.6509237350182524,0.7610483686003618,0.901665501251561
40,0.5348213886335703,0.6494293479428986,0.7581085527973652,0.8948000457078442
50,0.4691550691355108,0.5671685018426069,0.6587739453149197,0.7716352305395652
