config,estimator,mean_bias,median_bias,sd,iqr,rmse,mad_err,q99_abs_err
mu_ZX=1,Mean IV,-0.00017626640335527752,-0.0001578525971541178,0.022358261601086293,0.03024940607992954,0.022358956408284388,0.015133490362146618,0.056961520528681434
mu_ZX=1,Ratio-of-Medians,-0.001526146387685317,-0.001691752324366691,0.039433756072158536,0.0530175840681717,0.03946327711626526,0.026603401646727753,0.103160172870114
mu_ZX=1,Median-of-Ratios,-0.00012888075865633564,3.838906550790444e-05,0.027452029751978288,0.037241211789517226,0.0274523322825849,0.018627388076029316,0.07076447391735793
mu_ZX=1,Catoni,-0.0005674230718027767,-0.0005690153385086161,0.022364372073315923,0.03012778982195541,0.022371569171073524,0.01514136477308159,0.05711381909201486
mu_ZX=1,Trimmed Mean,-0.0002653747548687089,0.00027753391232976377,0.03123107562591587,0.0418365140313387,0.03123220306850284,0.020910574859490327,0.08083360365558649
mu_ZX=0.4,Mean IV,-0.0012954679315782338,0.0014694146873066583,0.056653796692479164,0.07489632839104177,0.05666860609574327,0.03742517347199592,0.14965101823088633
mu_ZX=0.4,Ratio-of-Medians,-0.001644653029527046,-0.0006291260917052899,0.0996015193998381,0.1303569969959817,0.09961509700012272,0.06522042731399957,0.26448158273948713
mu_ZX=0.4,Median-of-Ratios,0.0015020449636098283,0.004925298102801845,0.0699827406882912,0.09284783416261755,0.06999885808580962,0.046904753429940604,0.18330364954959594
mu_ZX=0.4,Catoni,-0.0013524913450818018,0.0014386728045038266,0.05664877260470013,0.07479937933705161,0.056664915692671285,0.037371262136051575,0.1499080381665403
mu_ZX=0.4,Trimmed Mean,-0.0023750466621876402,0.0004956572044901852,0.07892522716815957,0.10289823707914947,0.07896095446607242,0.051406445523717315,0.21711505166907588
mu_ZX=0.2,Mean IV,-0.011915614136180546,-0.0027835688113675428,0.12080889383714118,0.15199088423971774,0.1213951015914398,0.07536455369695805,0.353903922249827
mu_ZX=0.2,Ratio-of-Medians,-0.007579092554667031,-0.0019356523263605596,0.2172840878005263,0.2670918584881271,0.21741623089194384,0.1333620093007638,0.631276177633179
mu_ZX=0.2,Median-of-Ratios,0.09054653743537065,0.09403643280651575,0.12359825557236101,0.15777861189351539,0.15321620091251986,0.11047958835915561,0.37977012665732923
mu_ZX=0.2,Catoni,-0.01191307760445717,-0.002981039713120137,0.1207940258752498,0.1521278785035447,0.12138005645558227,0.07523399026114325,0.3543113203721272
mu_ZX=0.2,Trimmed Mean,-0.02214033764287353,-0.0019666221394215033,0.18645931567304352,0.21312782740266023,0.18776919596195785,0.10549693967247392,0.6022067303574277
mu_ZX=0.1,Mean IV,-0.0668710131765293,0.0008864685488114699,2.5116849189309742,0.3128590347629968,2.5125749470192025,0.15266860880424304,1.8300634050682179
mu_ZX=0.1,Ratio-of-Medians,0.015080413712391157,0.0022860514460043557,8.503579243491101,0.5476457530362826,8.50359261543087,0.2717367648089777,4.141444047012479
mu_ZX=0.1,Median-of-Ratios,0.22717566609045042,0.22826022827605597,0.16542155495678681,0.20912646377203092,0.2810214833566307,0.23088426249784155,0.636094844787121
mu_ZX=0.1,Catoni,-0.04331690294673574,0.0007104735068697021,2.7582096556156914,0.3138114308633464,2.7585497745033583,0.15299585406672112,1.8508190421870345
mu_ZX=0.1,Trimmed Mean,0.7854615521320562,0.01596298164846144,109.51893010543458,0.42862533776525535,109.52174670488479,0.21135352530521245,6.7539302758011
