mu,gamma,gamma_hat_median,mor_share,mor_share_iqr,mor_v_part,mor_v_samp,rom_share,rom_share_iqr,rom_v_part,rom_v_samp,cat_share,cat_share_iqr,cat_v_part,cat_v_samp,cert,mom_split,sn_split,mom_rej0,mom_rejb,sn_rej0,sn_rejb,ar_rej0,ar_rejb
1.0,2.5,2.415519968557586,0.3439492614936073,0.374966508590745,6.141696392525881e-05,0.00011714705932210708,0.778984440217876,0.79301460828771,0.0005323136799925357,0.00015102946848376966,0.00014061087279510428,0.00015659840553479122,2.4234177536636967e-08,0.00017232500919819144,1.0,0.0,5e-05,1.0,0.0,1.0,0.04825,1.0,0.09
0.6,6.944444444444445,6.178281635389602,0.401464731743825,0.41302075711995917,0.00016752527807163982,0.00024975989002760387,0.8283749996652322,0.8295989208664145,0.0013293886099009498,0.00027542637176579545,0.0001623186075828891,0.00020330480033565478,6.630144865941514e-08,0.0004083985667923884,0.9883500000000001,0.0,0.0076500000000000005,1.0,0.0,1.0,0.03425000000000001,1.0,0.03
0.4,15.624999999999996,13.423059736980758,0.3254403979170277,0.36676199618757865,0.00039423846332716547,0.0008171614300188293,0.7462974076547472,0.7552348260935278,0.0029670060909583644,0.0010086289045888306,5.508204980462715e-05,6.48066144643467e-05,7.050771621482432e-08,0.0012799783732697165,0.8792999999999997,0.0001,0.044750000000000005,1.0,0.0001,1.0,0.055,1.0,0.08
0.3,27.77777777777778,23.539235168652795,0.4810423004767249,0.5009655841597366,0.000873323679225053,0.000942158406985593,0.805059955499961,0.8321636529929105,0.0053952541473640805,0.0013064257840560605,5.859023873281683e-05,9.14208824632326e-05,1.113915126328131e-07,0.0019010843544337286,0.51365,0.0014000000000000002,0.10585000000000001,0.9987999999999999,0.0,0.9990000000000001,0.035550000000000005,1.0,0.03
0.2,62.499999999999986,54.1504690895311,0.6381395095132528,0.5930195759405429,0.0024734812389323392,0.0014026010315715063,0.8242559878431966,0.8270759042784516,0.013221921581163141,0.0028191163684191294,4.615221306310649e-05,4.8265602534689615e-05,1.7570389977980754e-07,0.003806876832011289,0.0685,0.008350000000000002,0.29624999999999996,0.9573499999999998,0.0,0.9430999999999998,0.0381,1.0,0.02
0.1,249.99999999999994,173.048997938735,0.8244391471798316,0.8084467490017414,0.006645548900002589,0.0014151417194750216,0.9959502767842544,0.8406517792407381,135.2966200914092,0.550141785356192,0.00022789653768247168,0.00032012019839023194,4.134121415657725e-06,0.018136209113714125,0.0009,0.0315,0.67795,0.5366000000000001,0.0,0.45925,0.039599999999999996,0.8,0.03
0.05,999.9999999999998,1088.9989947503598,0.9266169608028492,0.9319589989717305,0.01035390424749138,0.0008199730777417362,0.9948197089749998,0.7234424616383262,8016.784303050908,41.74552976764611,0.003912508956815387,0.8213909043567424,0.39125503112862825,99.60980194973332,0.0,0.0509,0.5715,0.12595,0.0,0.08109999999999999,0.04575000000000001,0.18,0.05
